channel_id,sat_mean,white,entropy,sym,var,bright,sat_std,ed,dom,skin,lines,is_bot,bot_probability
UC0DVjI6yM60qRfop7CToBDA,0.594131588935852,0.0439453125,0.4791695475578308,0.982186829810049,3028.899658203125,0.7495995615042892,0.12693189084529877,0.015625,0.94744873046875,0.0,0.0,False,0.001779516
UC0IMf7uMc9qOH2u2-LNgtnw,0.496990442276001,0.0439453125,0.599251389503479,0.9819776348039215,2481.327392578125,0.7644863951439951,0.10582591593265533,0.01568603515625,0.947509765625,0.0,0.0,False,0.001779516
UC0XgxcIaNdkldSGHhUve7qg,0.5938150882720947,0.0457763671875,0.5037118196487427,0.9847570082720588,3034.078125,0.7496814204197304,0.12798509001731873,0.01519775390625,0.94781494140625,0.0,0.1220703125,False,0.001779516
UC-CjSdKw_L9YojZLtwiXv8Q,0.4961773753166199,0.04620361328125,0.7341938614845276,0.957894837622549,2494.665283203125,0.7647082758884803,0.1071302592754364,0.0179443359375,0.94793701171875,0.0,0.0,False,0.001779516
UC-xyWfdWWwmaOW8i5BPsWzw,0.0,0.4410400390625,3.6588923931121826,0.7904517080269609,4503.56591796875,0.6811422909007353,0.0,0.203369140625,0.4503173828125,0.0,19.47021484375,False,0.0017776763
UC09erLW2JpzDwIKnnQMFbCg,0.27853572368621826,0.01300048828125,2.0070674419403076,0.7585238587622549,4658.76025390625,0.21134559780943626,0.37739723920822144,0.031494140625,0.71820068359375,0.01214599609375,0.0,False,0.001755362
UC-N-0bjSmCnTixxIVhQm2cw,0.38196808099746704,0.0377197265625,5.293827533721924,0.8656666475183823,2326.26806640625,0.3442416321997549,0.17883847653865814,0.1419677734375,0.75323486328125,0.0008544921875,2.9296875,False,0.001747285
UC-xgpee8zLn2ntCFf4557YQ,0.9708561301231384,0.0179443359375,0.28950008749961853,0.9980497472426471,7558.95166015625,0.8235071518841912,0.13846801221370697,0.0067138671875,0.97564697265625,0.0,0.0,False,0.0017350626
UC-9MaC8YsQ8vfdrudTbzn4w,0.8398590087890625,0.04290771484375,0.5072504281997681,0.9815558938419118,5671.58837890625,0.7721746706495098,0.18256989121437073,0.0155029296875,0.94793701171875,0.0,0.06103515625,False,0.0017350428
UC-S5eaUFkl7Mmv6IqOWmdVQ,0.8403673768043518,0.04315185546875,0.5967696309089661,0.9828043619791667,5660.34765625,0.7720940085018382,0.1809733808040619,0.01800537109375,0.9482421875,0.0,0.0,False,0.0017350428
UC4eHH4atMvc-_h4eFrPA8NQ,0.0009902056772261858,0.88275146484375,1.3521326780319214,0.8937375536151961,1788.9967041015625,0.9320511163449755,0.025011340156197548,0.15606689453125,0.8466796875,0.0,2.99072265625,False,0.0017314556
