channel_id,lines,bright,var,dom,sat_std,entropy,sym,sat_mean,ed,skin,white,is_bot,rank_score
UC0wl5wpjTwNgQqaT1y9hpvA,2.9296875,0.42827651079963236,3969.276123046875,0.5323486328125,0.2772306203842163,5.92783260345459,0.7599681181066177,0.31513601541519165,0.15704345703125,0.28948974609375,0.02886962890625,False,0.0023580785
UC-35SB-bZqGj4_jhmomOIBQ,0.06103515625,0.43848039215686274,7608.34228515625,0.67303466796875,0.3558882176876068,4.915947437286377,0.9029823452818627,0.742243766784668,0.07391357421875,0.0667724609375,0.1505126953125,False,0.0023516808
UC06PvZXw0wJ7Mwo-az2sB3A,3.11279296875,0.9024069393382353,4313.3759765625,0.78985595703125,0.23637932538986206,2.789395570755005,0.8842730353860294,0.11179821938276291,0.1197509765625,0.0394287109375,0.76312255859375,False,0.0023158335
UC4b6jYrDPQtbAZfrHX-BrAQ,0.0,0.9628827263327205,8852.2998046875,0.93670654296875,0.19923993945121765,0.8304727077484131,0.9820288564644608,0.8272178173065186,0.01910400390625,0.0081787109375,0.0540771484375,False,0.0022023597
UCCPBPWas93Woac--u-pxN0g,5.2490234375,0.6043172200520833,7365.97607421875,0.42724609375,0.28634780645370483,7.6431379318237305,0.810235715379902,0.45073628425598145,0.1822509765625,0.222412109375,0.09564208984375,False,0.0021948875
UC-5CQgrzjOD9287BjZY8Z8g,0.0,0.4966938093596814,1900.115234375,0.52935791015625,0.14889372885227203,5.897098541259766,0.8630155675551471,0.2314300239086151,0.06866455078125,0.45306396484375,0.064697265625,False,0.0021912176
UCBuf0Xg6i2mrlAlo2PjJ9Yw,0.18310546875,0.4322275199142157,4522.265625,0.44140625,0.2211739718914032,5.745727062225342,0.8743705001531863,0.285662978887558,0.08465576171875,0.3455810546875,0.00372314453125,False,0.0021880069
UC-3Yfr9sJNfRaKrkyTDUURA,15.2587890625,0.3149423636642157,2999.590087890625,0.6322021484375,0.2257874310016632,6.302145957946777,0.8461368336397059,0.3613070845603943,0.20819091796875,0.02081298828125,0.04364013671875,False,0.0021261354
UC-5SjVCdH1YWicSFKNoIQRg,0.0,0.2895632276348039,1200.6182861328125,0.43255615234375,0.208163321018219,4.734731674194336,0.9384411381740196,0.4559613764286041,0.03924560546875,0.005126953125,0.00286865234375,False,0.002084957
UC1Rti9YruKn98AQPyaJFW8w,0.0,0.6250224992340686,3967.258544921875,0.55712890625,0.2505533695220947,5.629723072052002,0.9201090494791666,0.6194123029708862,0.073974609375,0.1773681640625,0.02117919921875,False,0.0019836277
UC-br-cue90CVSYAv7O_Btaw,0.0,0.7786836511948529,6052.24609375,0.9215087890625,0.22518761456012726,0.7378048300743103,0.9925431793811275,0.8160545825958252,0.022216796875,0.0,0.0679931640625,False,0.0019091961
UC-etm5VbVC_C-FqhCgB0djg,0.0,0.8328900505514706,8010.30810546875,0.921142578125,0.25181350111961365,0.8261350393295288,0.9934393190870098,0.917891263961792,0.022216796875,0.0,0.06634521484375,False,0.0019056966
UC83w8Z82876LCwjTWkAvjhQ,5.92041015625,0.8076961741727942,3861.725341796875,0.54107666015625,0.22058816254138947,6.124670028686523,0.9060958563112745,0.1857304722070694,0.19244384765625,0.00079345703125,0.57501220703125,False,0.0018843325
