channel_id,sat_mean,white,skin,ed,sat_std,sym,lines,var,dom,bright,entropy,label
UC--Y60VQ5YhPwaS15OWy12A,0.10053615272045135,0.61114501953125,0.30853271484375,0.13702392578125,0.13344033062458038,0.9231028837316176,2.0751953125,1991.9661865234375,0.738525390625,0.9262826956954657,3.4723336696624756,0
UC--ZmkbP5Ok9sVcYN2EzKFw,0.0,0.51287841796875,0.0,0.100830078125,0.0,0.7455078125,0.244140625,8236.2099609375,0.53729248046875,0.6126455269607843,3.4411025047302246,0
UC--jx26rXDg7Vk_C0Oe5YCQ,0.24399009346961975,0.29803466796875,0.09442138671875,0.06915283203125,0.15326254069805145,0.9798186657475491,0.6103515625,1949.5902099609375,0.45928955078125,0.6870859183517157,3.586179256439209,0
UC--tD5tXdTdxj_Ub7lUundA,0.15355250239372253,0.03485107421875,0.07177734375,0.20654296875,0.1666260063648224,0.748773073682598,9.21630859375,3222.637939453125,0.394775390625,0.41001814299938727,6.265392780303955,0
UC--w0vfeajuqteDb2PcdIAA,0.7056662440299988,0.0,0.20452880859375,0.27484130859375,0.13390371203422546,0.8290647020526961,47.42431640625,3390.9765625,0.4384765625,0.5722893210018383,6.195613861083984,0
UC-094h6T6Xeyr3ZcoHX33_g,0.43756726384162903,0.011474609375,0.1048583984375,0.238037109375,0.28256627917289734,0.8324640012254902,25.08544921875,2494.3701171875,0.5784912109375,0.2556453929227941,6.5184125900268555,0
UC-0E2l5tk3okBItATIfdlTw,0.547626793384552,0.0382080078125,0.0047607421875,0.19976806640625,0.2309517115354538,0.8342203776041667,10.7421875,3638.2783203125,0.5709228515625,0.42720253140318626,7.629223346710205,0
UC-0KegqxkXjDyFD16U05U2g,0.42351239919662476,0.00360107421875,0.14422607421875,0.184814453125,0.3762151896953583,0.8852572571997549,7.38525390625,2302.50634765625,0.6158447265625,0.16511086856617646,3.821293830871582,0
UC-0b8Ft_yHJJdpaH4N9654w,0.25104695558547974,0.02618408203125,0.21026611328125,0.08380126953125,0.14521613717079163,0.7369604970894608,1.03759765625,4240.0048828125,0.71539306640625,0.2888320025275735,5.232233047485352,0
UC-0dWXQ8Bxgq-TNlh0e5xUg,0.2929072380065918,0.0,0.56475830078125,0.0693359375,0.16659052670001984,0.9215126187193627,0.1220703125,529.101806640625,0.59197998046875,0.39042896943933825,5.11489200592041,0
UC-0kXA4hEPW8-wOSHMrV6mA,0.061449240893125534,0.63763427734375,0.01519775390625,0.10089111328125,0.135341614484787,0.9245040594362746,0.79345703125,4786.4091796875,0.63934326171875,0.778451717601103,2.916353225708008,0
UC-0vMunUzIfdoMCR2ljvKcw,0.224241241812706,0.2265625,0.08746337890625,0.16650390625,0.19613657891750336,0.7707280177696079,2.0751953125,6411.66552734375,0.4420166015625,0.5029636757046568,6.212488651275635,0
UC-13uz-0p9vrhQ8QoazIeNw,0.35846954584121704,0.2103271484375,0.3861083984375,0.11865234375,0.2677432596683502,0.8985796760110294,0.18310546875,3968.3447265625,0.76031494140625,0.7450075635723039,7.05341911315918,0
UC-1BrmXyZ6g2hRChQOPW_Lw,0.2835765480995178,0.070556640625,0.0,0.021484375,0.07700414955615997,0.9914287492340687,0.0,1909.4686279296875,0.92303466796875,0.4393626493566177,0.6400383114814758,0
